№,"item_name","ingredient_name","dosage_and_unit","pharmaceutical_form","packaging","packaging_qty","company","wholesale_price","sale_price","submitted_at"
2826,FEMORRUM,IRON (FERRIC) HYDROXIDE SUCROSE COMPLEX,20 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"MYUNGMOON FARMASEUTİKAL KO LTD, Cənubi Koreya",28.37,34.04,29.11.2016
2827,FEMOSTON 1/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,1 mq / (1 + 10) mq,Tablet,Blister,28,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",17.74,21.29,15.07.2017
2828,FEMOSTON 1/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,1 mq / (1 + 10) mq,Tablet,Blister,84,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",48.05,57.66,29.11.2016
2829,FEMOSTON 1/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,1 mq / (1 + 10) mq,Tablet,Blister,280,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",151.93,176.01,29.11.2016
2830,FEMOSTON 1/5 KONTİ,ESTRADIOL + DYDROGESTERONE,(1 + 5) mq,Tablet,Blister,28,"EBBOTT BİOLOCİKALS BV, Niderland",13.79,16.55,15.07.2017
2831,FEMOSTON 2/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,2 mq / (2 + 10) mq,Tablet,Blister,28,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",14.08,16.90,15.07.2017
2832,FEMOSTON 2/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,2 mq / (2 + 10) mq,Tablet,Blister,84,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",37.73,45.28,29.11.2016
2833,FEMOSTON 2/10,ESTRADIOL / ESTRADIOL + DYDROGESTERONE,2 mq / (2 + 10) mq,Tablet,Blister,280,"EBBOTT HELSKEA PRODAKTS BV / EBBOTT BİOLOCİKALS BV, Niderland",120.18,140.55,29.11.2016
2834,FENADEKS,FEXOFENADINE,120 mq,Tablet,Blister,15,"İORDANİYA ƏCZAÇILIQ MÜƏSSİSƏSİ, İordaniya",2.67,3.20,29.11.2016
2835,FENADİAZEPİN,BROMDIHYDROCHLORPHENYLBENZODIAZEPINE,1 mq,Tablet,Blister,50,"AKRİXİN ASC, Rusiya",2.87,3.44,29.11.2016
2836,FENADOL,FLURBIPROFEN,100 mq,Tablet,Blister,15,"VEM İLAÇ SAN VE TİC AŞ, Türkiyə",2.37,2.84,29.11.2016
2837,FENAZEPAM,BROMDIHYDROCHLORPHENYLBENZODIAZEPINE,"0,5 mq",Tablet,Blister,50,"VALENTA FARMASEVTİKA ASC, Rusiya",2.45,2.94,29.11.2016
2838,FENAZEPAM,BROMDIHYDROCHLORPHENYLBENZODIAZEPINE,1 mq,Tablet,Blister,50,"VALENTA FARMASEVTİKA ASC, Rusiya",2.87,3.44,29.11.2016
2839,FENAZEPAM,BROMDIHYDROCHLORPHENYLBENZODIAZEPINE,"2,5 mq",Tablet,Blister,50,"VALENTA FARMASEVTİKA ASC, Rusiya",4.39,5.27,29.11.2016
2840,FEN-FEN,PARACETAMOL + ASCORBIC ACID + PHENYLEPHRINE HCL,(750 + 60 + 10) mq,Məhlul hazırlamaq üçün toz,Paket 5 q,7,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",4.00,4.80,18.05.2018
2841,FEN-FEN,PARACETAMOL + ASCORBIC ACID + PHENYLEPHRINE HCL,(750 + 60 + 10) mq,Məhlul hazırlamaq üçün toz,Paket 5 q,10,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",5.72,6.86,18.05.2018
2842,FENİBUT,PHENIBUT,250 mq,Tablet,Blister,10,"BELMEDPREPARATI RUM, Belarus",4.37,5.24,29.11.2016
2843,FENİBUT,PHENIBUT,250 mq,Tablet,Blister,20,"BELMEDPREPARATI RUM, Belarus",4.37,5.24,29.11.2016
2844,FENİBUT,PHENIBUT,250 mq,Tablet,Blister,20,"OZON MMC, Rusiya",3.67,4.40,29.11.2016
2845,FENİBUT,PHENIBUT,250 mq,Tablet,Blister,50,"BELMEDPREPARATI RUM, Belarus",10.91,13.09,29.11.2016
2846,FENİSTİL,DIMETINDENE MALEATE,1 mq/q,Gel,Tub 30 q,1,"NOVARTİS KONSYUMER XELS SA, İsveçrə",6.92,8.30,29.11.2016
2847,FENİSTİL NYU,DIMETINDENE MALEATE,1 mq/q,Məhlul,Flakon 20 ml,1,"NOVARTİS KONSYUMER XELS SA, İsveçrə",4.56,5.47,29.11.2016
2848,FENİSTİL PENSİVİR,PENCICLOVIR,10 mq/q,Krem,Tub 2 q,1,"NOVARTİS FARMA PRODAKŞNS GMBH, Almaniya",10.79,12.95,29.11.2016
2849,FENKAROL,QUIFENADINE,10 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",4.56,5.47,17.11.2018
2850,FENKAROL,QUIFENADINE,25 mq,Tablet,Blister,20,"OLAYNFARM SC, Latviya",5.66,6.79,29.11.2016
2851,FENKAROL,QUIFENADINE,50 mq,Tablet,Blister,15,"OLAYNFARM SC, Latviya",8.43,10.12,24.05.2017
2852,FENKAROL,QUIFENADINE,50 mq,Tablet,Blister,30,"OLAYNFARM SC, Latviya",11.83,14.20,29.11.2016
2853,FENKAROL,QUIFENADINE,10 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,10,"SOFARMA ASC, Bolqarıstan",9.45,11.34,09.12.2017
2854,FENKAROL,QUIFENADINE,10 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,10,"OLAYNFARM SC, Latviya",9.45,11.34,09.12.2017
2855,FENOBARBİTAL,PHENOBARBITAL,100 mq,Tablet,Blister,2250,"TATXİMFARMPREPARATI ASC, Rusiya",90.16,106.63,29.11.2016
2856,FENOBARBİTAL İTX,PHENOBARBITAL,50 mq,Tablet,Blister,50,"İNTERXİM ƏMC, Ukrayna",1.42,1.70,29.11.2016
2857,FENOBARBİTAL İTX,PHENOBARBITAL,100 mq,Tablet,Blister,50,"İNTERXİM ƏMC, Ukrayna",3.09,3.71,24.05.2017
2858,FENOBARBİTAL-ZN,PHENOBARBITAL,50 mq,Tablet,Blister,50,"ZDOROVYE NARODU XARKOV DƏM, Ukrayna",1.42,1.70,29.11.2016
2859,FENOBARBİTAL-ZN,PHENOBARBITAL,100 mq,Tablet,Blister,50,"ZDOROVYE NARODU XARKOV DƏM, Ukrayna",2.82,3.38,29.11.2016
2860,FENODEM,DICLOFENAC SODIUM,25 mq/ml,İnyeksiya üçün məhlul,Ampul 3 ml,5,"DEMO SA FARMASYUTİKAL İND, Yunanıstan",2.59,3.11,29.11.2016
2861,FENOKSİM NORMON,CIPROFLOXACIN,2 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"LABORATORİOS NORMON SA, İspaniya",4.08,4.90,29.11.2016
2862,FENOKSİM NORMON,CIPROFLOXACIN,2 mq/ml,İnfuziya üçün məhlul,Flakon 200 ml,1,"LABORATORİOS NORMON SA, İspaniya",6.34,7.61,29.11.2016
2863,FENOKSİMETİLPENSİLLİN,PHENOXYMETHYLPENICILLIN,100 mq,Tablet,Blister,10,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",0.24,0.29,29.11.2016
2864,FENOKSİMETİLPENSİLLİN,PHENOXYMETHYLPENICILLIN,100 mq,Tablet,Blister,20,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",0.45,0.54,29.11.2016
2865,FENOKSİMETİLPENSİLLİN,PHENOXYMETHYLPENICILLIN,100 mq,Tablet,Blister,30,"SİNTEZ DƏRMAN VƏ TİBB VASİTƏLƏRİNİN KURQAN ASC, Rusiya",0.67,0.80,29.11.2016
2866,FENOTERİKS,FENOTEROL,100 mkq/doza,İnhalyasiya üçün aerozol,Flakon (200 doza),1,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ, Türkiyə",8.46,10.15,18.05.2018
2867,FENOTROPİL,N-CARBAMOYLMETHYL-4-PHENYL-2-PYRROLIDONE,100 mq,Tablet,Blister,10,"VALENTA FARMASEVTİKA ASC, Rusiya",10.21,12.25,29.11.2016
2868,FENOTROPİL,N-CARBAMOYLMETHYL-4-PHENYL-2-PYRROLIDONE,100 mq,Tablet,Blister,30,"VALENTA FARMASEVTİKA ASC, Rusiya",24.43,29.32,29.11.2016
2869,FENTANİL,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,5,"MOSKVA ENDOKRİN ZAVODU FDUM, Rusiya",1.96,2.35,29.11.2016
2870,FENTANİL,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 1 ml,500,"MOSKVA ENDOKRİN ZAVODU FDUM, Rusiya",88.26,104.48,29.11.2016
2871,FENTANİL,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,5,"MOSKVA ENDOKRİN ZAVODU FDUM, Rusiya",2.23,2.68,29.11.2016
2872,FENTANİL,FENTANYL CITRATE,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,100,"ZDOROVYE NARODU XARKOV DƏM, Ukrayna",40.08,48.10,24.05.2017
2873,FENTANİL,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,500,"MOSKVA ENDOKRİN ZAVODU FDUM, Rusiya",170.32,196.42,29.11.2016
2874,FENTANİL KALSEKS,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,10,"HBM FARMA MMC, Slovakiya",6.35,7.62,29.11.2016
2875,FENTANİL KALSEKS,FENTANYL,"0,05 mq/ml",İnyeksiya üçün məhlul,Ampul 2 ml,100,"HBM FARMA MMC, Slovakiya",60.87,73.04,29.11.2016
2876,FENZEPİN,BROMDIHYDROCHLORPHENYLBENZODIAZEPINE,1 mq,Tablet,Blister,50,"İNTERXİM ƏMC, Ukrayna",3.03,3.64,29.11.2016
2877,FERFOLİ,IRON (FERROUS SULFATE) + FOLIC ACID,(90 + 1) mq,Tablet,Blister,60,"BİAL SA, Portuqaliya",21.35,25.62,29.11.2016
2878,FERİNT,IRON,20 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"MEFAR İLAÇ SAN AŞ, Türkiyə",37.36,44.83,18.05.2018
2879,FERİSTOL,IRON (SULFATE HEPTAHYDRATE) + ASCORBIC ACID,(50 + 30) mq,Tablet,Blister,50,"EİM BORŞAQOVSKİY KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ İSC, Ukrayna",2.33,2.80,29.11.2016
2880,FERİTİNN,IRON (FERRIC) GLUCONATE COMPLEX,"7,8 mq/ml",Şərbət,Flakon 240 ml,1,"ABC FARMASYUTİÇİ SPA, İtaliya",8.63,10.36,29.11.2016
2881,FERJUMBO,IRON (III) HYDROXIDE POLYMALTOSE COMPLEX,10 mq/ml,Şərbət,Flakon 100 ml,1,"EİM BORŞAQOVSKİY KİMYA-ƏCZAÇILIQ MÜƏSSİSƏSİ İSC, Ukrayna",3.40,4.08,29.11.2016
2882,FERKAİL,IRON (III) DEXTRAN,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"SA LABORATORİES STEROP NV, Belçika",24.39,29.27,29.11.2016
2883,FERKAİL,IRON (III) DEXTRAN,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,100,"SA LABORATORİES STEROP NV, Belçika",519.74,584.28,29.11.2016
2884,FERMED,IRON (III) HYDROXIDE SUCROSE COMPLEX,20 mq/ml,İnyeksiya və infuziya üçün məhlul,Ampul 5 ml,5,"MEDİSE ARZNEİMİTTEL PUTTER GMBH VƏ KO KG, Almaniya",41.52,49.82,29.11.2016
2885,FERRİNEMİYA,IRON (III) HYDROXIDE SUCROSE COMPLEX,20 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"HELP SA, Yunanıstan",37.36,44.83,29.11.2016
2886,FERRO FOLQAMMA,CYANOCOBALAMIN + FOLIC ACID + FERROUS SULFATE,"(0,01 + 5 + 112) mq",Kapsul,Blister,20,"RP ŞERER GMBH VƏ KO KG / CPM KONTRAKT FARMA GMBH VƏ KO KG,
Almaniya",5.13,6.16,29.11.2016
2887,FERRO FOLQAMMA,CYANOCOBALAMIN + FOLIC ACID + FERROUS SULFATE,"(0,01 + 5 + 112) mq",Kapsul,Blister,50,"RP ŞERER GMBH VƏ KO KG / CPM KONTRAKT FARMA GMBH VƏ KO KG,
Almaniya",11.73,14.08,29.11.2016
2888,FERRO FOLQAMMA,CYANOCOBALAMIN + FOLIC ACID + FERROUS SULFATE,"(0,01 + 5 + 112) mq",Kapsul,Blister,100,"RP ŞERER GMBH VƏ KO KG / CPM KONTRAKT FARMA GMBH VƏ KO KG,
Almaniya",21.39,25.67,29.11.2016
2889,FERROGEN,IRON,20 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"MEFAR İLAÇ SAN AŞ, Türkiyə",37.36,44.83,29.11.2016
2890,FERROJET,IRON (FERRIC) HYDROXIDE POLYMALTOSE,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"AMRİYA FARM İND, Misir",4.63,5.56,29.11.2016
2891,FERROPOL,IRON (FERRIC) HYDROXIDE POLYMALTOSE COMPLEX,10 mq/ml,Şərbət,Flakon 150 ml,1,"MEDANA FARMA SC, Polşa",6.88,8.26,29.11.2016
2892,FERROPOL,IRON (FERRIC) HYDROXIDE POLYMALTOSE COMPLEX,50 mq/ml,Damcı,Flakon 30 ml,1,"MEDANA FARMA SC, Polşa",5.06,6.07,29.11.2016
2893,FERROVİN,IRON (III) HYDROXIDE SUCROSE COMPLEX,20 mq/ml,İnyeksiya üçün məhlul,Ampul 5 ml,5,"RAFARM SA, Yunanıstan",37.36,44.83,29.11.2016
2894,FERRUM LEK,IRON (III) HYDROXIDE POLYMALTOSE COMPLEX,100 mq,Çeynənilən tablet,Blister,30,"LEK FARMASYUTİKALS DD, Sloveniya",7.56,9.07,29.11.2016
2895,FERRUM LEK,IRON (III) HYDROXIDE DEXTRAN COMPLEX,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"LEK DD, Sloveniya",18.23,21.88,29.11.2016
2896,FERRUM LEK,IRON (III) HYDROXIDE DEXTRAN COMPLEX,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,50,"LEK DD, Sloveniya",109.31,128.27,29.11.2016
2897,FERRUM LEK,IRON (III) HYDROXIDE POLYMALTOSE COMPLEX,10 mq/ml,Şərbət,Flakon 100 ml,1,"LEK DD, Sloveniya",4.60,5.52,29.11.2016
2898,FERRUM LEK,IRON (III) HYDROXIDE POLYMALTOSE COMPLEX,10 mq/ml,Şərbət,Flakon 100 ml,1,"SANDOZ İLAÇ SAN VE TİC AŞ, Türkiyə",4.60,5.52,29.11.2016
2899,FERSİNOL,IRON (III) HYDROXIDE POLYMALTOSE COMPLEX,50 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"İDOL İLAÇ DOLUM SAN VE TİC AŞ, Türkiyə",5.10,6.12,29.11.2016
2900,FERSİNOL,IRON (FERRIC) HYDROXIDE POLYMALTOSE COMPLEX,50 mq/ml,Damcı,Flakon 30 ml,1,"ROMFARM KOMPANİ SRL, Rumıniya",5.06,6.07,29.11.2016
2901,FERVEKS,PARACETAMOL + ASCORBIC ACID + PHENIRAMINE MALEATE,(500 + 200 + 25) mq,Məhlul hazırlamaq üçün toz,"Paket 12,75 q",8,"BRİSTOL-MAYERS SKVİBB, Fransa",5.53,6.64,29.11.2016
2902,FERVEKS,PARACETAMOL + ASCORBIC ACID + PHENIRAMINE MALEATE,(500 + 200 + 25) mq,Məhlul hazırlamaq üçün toz,"Paket 13,1 q",8,"BRİSTOL-MAYERS SKVİBB, Fransa",5.53,6.64,29.11.2016
2903,FERVEKS ŞƏKƏRSİZ,PARACETAMOL + ASCORBIC ACID + PHENIRAMINE MALEATE,(500 + 200 + 25) mq,Məhlul hazırlamaq üçün toz,"Paket 4,95 q",8,"BRİSTOL-MAYERS SKVİBB, Fransa",5.61,6.73,29.11.2016
2904,FERVEKS UŞAQLAR ÜÇÜN,PARACETAMOL + ASCORBIC ACID + PHENIRAMINE MALEATE,(280 + 100 + 10) mq,Məhlul hazırlamaq üçün toz,Paket 3 q,8,"BRİSTOL-MAYERS SKVİBB, Fransa",6.41,7.69,29.11.2016
2905,FESOROKS,DEFERASIROX,125 mq,Dispers tablet,Blister,28,"SANOVEL İLAÇ SAN VE TİC AŞ, Türkiyə",103.24,121.41,12.01.2019
2906,FESOROKS,DEFERASIROX,250 mq,Dispers tablet,Blister,28,"SANOVEL İLAÇ SAN VE TİC AŞ, Türkiyə",187.04,214.98,12.01.2019
2907,FESOROKS,DEFERASIROX,500 mq,Dispers tablet,Blister,28,"SANOVEL İLAÇ SAN VE TİC AŞ, Türkiyə",343.79,388.98,12.01.2019
2908,FESSETAM,PIRACETAM + CINNARIZINE,(400 + 25) mq,Kapsul,Blister,60,"ADİFARM MMC, Bolqarıstan",5.51,6.61,29.11.2016
2909,FESTAL,PANCREATIN + HEMICELLULOSE + BILE COMPONENT,(192 + 50 + 25) mq,Draje,Blister,100,"SANOFİ İNDİA LTD, Hindistan",13.20,15.84,29.11.2016
2910,FEVARİN,FLUVOXAMINE MALEATE,50 mq,Tablet,Blister,15,"EBBOTT HELSKEA SAS, Fransa",7.05,8.46,15.07.2017
2911,FEVARİN,FLUVOXAMINE MALEATE,100 mq,Tablet,Blister,15,"EBBOTT HELSKEA SAS, Fransa",12.82,15.38,15.07.2017
2912,FEVERİMOL,PARACETAMOL,125 mq,Şam,Blister,6,"ANTİBİOTİÇE SA, Rumıniya",1.69,2.03,31.07.2018
2913,FEYBA,COAGULATION FACTOR VIII (ANTI-INHIBITOR COAGULANT COMPLEX),500 IU,İnfuziya məhlulu üçün toz,Flakon 50 ml + Həlledici 20 ml,1,"BAKSTER AG, Avstriya",767.92,859.76,29.11.2016
2914,FEYBA,COAGULATION FACTOR VIII (ANTI-INHIBITOR COAGULANT COMPLEX),1000 IU,İnfuziya məhlulu üçün toz,Flakon 50 ml + Həlledici 20 ml,1,"BAKSTER AG, Avstriya",1625.16,1811.30,29.11.2016
2915,FEZAM,PIRACETAM + CINNARIZINE,(400 + 25) mq,Kapsul,Blister,60,"BALKANFARMA DUPNİTSA AD, Bolqarıstan",5.51,6.61,29.11.2016
2916,FEZAM,PIRACETAM + CINNARIZINE,(400 + 25) mq,Kapsul,Blister,60,"ZDRAVLJE AD, Serbiya",5.51,6.61,29.11.2016
2917,FİBRON,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 150 ml,1,"SANTA FARMA İLAÇ SAN AŞ, Türkiyə",4.66,5.59,29.11.2016
2918,FİBRON,AMBROXOL HCL,6 mq/ml,Şərbət,Flakon 150 ml,1,"SANTA FARMA İLAÇ SAN AŞ, Türkiyə",5.27,6.32,29.11.2016
2919,FİDATO,CEFTRIAXONE SODIUM,500 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"LABORATORİO FARMASYUTİKO CT SRL / MİTİM FARMA SRL, İtaliya",2.57,3.08,29.11.2016
2920,FİDATO,CEFTRIAXONE SODIUM,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"LABORATORİO FARMASYUTİKO CT SRL / MİTİM FARMA SRL, İtaliya",4.59,5.51,29.11.2016
2921,FİKSDUAL,LEVOCETIRIZINE + MONTELUKAST,(5 + 10) mq,Tablet,Blister,30,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",20.57,24.68,29.11.2016
2922,FİKSDUAL,LEVOCETIRIZINE + MONTELUKAST,(5 + 10) mq,Tablet,Blister,60,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",40.48,48.58,29.11.2016
2923,FİKSDUAL,LEVOCETIRIZINE + MONTELUKAST,(5 + 10) mq,Tablet,Blister,90,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",60.15,72.18,29.11.2016
2924,FİLİSİN,FOLIC ACID,5 mq,Tablet,Blister,30,"ADELKO XROMATOURGİA ATİNON E KOLOKOTRONİS BROS SA,
Yunanıstan",4.49,5.39,29.11.2016
2925,FİLİSİN,FOLIC ACID,5 mq,Tablet,Blister,1000,"ADELKO XROMATOURGİA ATİNON E KOLOKOTRONİS BROS SA,
Yunanıstan",94.61,111.65,29.11.2016
2926,FİLMET,METRONIDAZOLE,5 mq/ml,İnfuziya üçün məhlul,Flakon 100 ml,1,"BEKSİMKO FARMASYUTİKALS LTD, Banqladeş",1.59,1.91,29.11.2016
2927,FİNALGEL,PIROXICAM,5 mq/q,Gel,Tub 35 q,1,"BERİNGER İNGELHEİM İNTERNEYŞNL GMBH / CPM KONTRAKT FARMA
GMBH VƏ KO KG, Almaniya",4.22,5.06,29.11.2016
2928,FİNALGEL,PIROXICAM,5 mq/q,Gel,Tub 50 q,1,"BERİNGER İNGELHEİM İNTERNEYŞNL GMBH / CPM KONTRAKT FARMA
GMBH VƏ KO KG, Almaniya",6.02,7.22,29.11.2016
2929,FİNALQON,NONIVAMIDE + NICOBOXIL,(4 + 25) mq/q,Məlhəm,Tub 20 q,1,"QLOBOFARM FARMASYUTİÇE PRODAKŞN VƏ HANDELSGESELLŞAFT
MBH, Avstriya",5.46,6.55,29.11.2016
2930,FİNALQON,NONIVAMIDE + NICOBOXIL,(4 + 25) mq/q,Məlhəm,Tub 50 q,1,"QLOBOFARM FARMASYUTİÇE PRODAKŞN VƏ HANDELSGESELLŞAFT
MBH, Avstriya",13.66,16.39,29.11.2016
2931,FİNAZİL,TERBINAFINE,10 mq/q,Krem,Tub 15 q,1,"LABORATORİOS BASİ-İNDUSTRİYA FARMASYUTİKA SA, Portuqaliya",4.90,5.88,29.11.2016
2932,FİNERİD,FINASTERIDE,5 mq,Tablet,Blister,30,"BİOFARMA İLAÇ SAN VE TİC AŞ, Türkiyə",12.87,15.44,29.11.2016
2933,FİNLEPSİN,CARBAMAZEPINE,200 mq,Tablet,Blister,50,"TEVA OPEREYŞN POLAND SP ZOO, Polşa",5.42,6.50,29.11.2016
2934,FİNLEPSİN RETARD,CARBAMAZEPINE,200 mq,Tablet,Blister,50,"TEVA OPEREYŞN POLAND SP ZOO, Polşa",5.42,6.50,29.11.2016
2935,FİNLEPSİN RETARD,CARBAMAZEPINE,400 mq,Tablet,Blister,50,"TEVA OPEREYŞN POLAND SP ZOO, Polşa",10.50,12.60,29.11.2016
2936,FİNLEPTOL,CARBAMAZEPINE,200 mq,Tablet,Blister,20,"LABORMED FARMA SA, Rumıniya",2.78,3.34,29.11.2016
2937,FİNLEPTOL,CARBAMAZEPINE,200 mq,Tablet,Blister,50,"LABORMED FARMA SA, Rumıniya",5.42,6.50,29.11.2016
2938,FİNLİPSAL,CARBAMAZEPINE,200 mq,Tablet,Blister,50,"POLFARMA ƏCZAÇILIQ MÜƏSSİSƏSİ SC, Polşa",5.96,7.15,17.11.2018
2939,FİTOLİZİN,GOLDENROD + EQUISETUM + POLYGONI AVICULARIS + …,672 mq/q,Pasta,Tub 100 q,1,"HERBAPOL VARŞAVA MMC, Polşa",7.52,9.02,17.11.2018
2940,FİTOSTİM,TRITICUM VULGARE + ETHYLENE GLYCOL MONOPHENYL ETHER,(150 + 10) mq/q,Krem,Tub 40 q,1,"ABDİ İBRAHİM İLAÇ SAN VE TİC AŞ, Türkiyə",7.57,9.08,29.11.2016
2941,FİTOTUSSİN,PLANTAGO + MORUS FRUIT + INULA + …,(5 + 50 + 5 + ...) q,Şərbət,Flakon 100 ml,1,"AZERFARM LTD ŞİRKƏTİ, Azərbaycan",3.72,4.46,29.11.2016
2942,FİZİOTENS,MOXONIDINE,"0,2 mq",Tablet,Blister,14,"EBBOTT HELSKEA SAS, Fransa",6.14,7.37,29.11.2016
2943,FİZİOTENS,MOXONIDINE,"0,2 mq",Tablet,Blister,28,"EBBOTT HELSKEA SAS, Fransa",10.97,13.16,29.11.2016
2944,FİZİOTENS,MOXONIDINE,"0,2 mq",Tablet,Blister,98,"EBBOTT HELSKEA SAS, Fransa",37.12,44.54,29.11.2016
2945,FİZİOTENS,MOXONIDINE,"0,4 mq",Tablet,Blister,14,"EBBOTT HELSKEA SAS, Fransa",9.95,11.94,29.11.2016
2946,FİZİOTENS,MOXONIDINE,"0,4 mq",Tablet,Blister,28,"EBBOTT HELSKEA SAS, Fransa",15.23,18.28,29.11.2016
2947,FİZİOTENS,MOXONIDINE,"0,4 mq",Tablet,Blister,98,"EBBOTT HELSKEA SAS, Fransa",50.11,60.13,29.11.2016
2948,FLAGİL,METRONIDAZOLE,250 mq,Tablet,Blister,20,"SANOFİ AVENTİS SA, İspaniya",4.05,4.86,29.11.2016
2949,FLAMADEKS,DEXKETOPROFEN,25 mq/ml,İnyeksiya üçün məhlul,Ampul 2 ml,5,"FARMFİRMA SOTEKS QSC, Rusiya",4.98,5.98,18.05.2018
2950,FLAMMEQİS,INFLIXIMAB,100 mq,İnfuziya məhlulu üçün toz,Flakon,1,"SELLTRİON İNK, Cənubi Koreya",521.01,585.69,29.11.2016
2951,FLAMMEQİS,INFLIXIMAB,100 mq,İnfuziya məhlulu üçün toz,Flakon,1,"EGİS FARMASYUTİKALS PLC, Macarıstan",660.44,740.46,29.11.2016
2952,FLAMMEQİS,INFLIXIMAB,100 mq,İnfuziya məhlulu üçün toz,Flakon,1,"MUSTAFA NEVZAT İLAÇ SAN VE TİC AŞ, Türkiyə",660.44,740.46,29.11.2016
2953,FLAPROKS,CIPROFLOXACIN,500 mq,Tablet,Blister,10,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ / BİOFARMA İLAÇ SAN VE TİC AŞ,
Türkiyə",3.73,4.48,29.11.2016
2954,FLAPROKS,CIPROFLOXACIN,500 mq,Tablet,Blister,10,"UNİFARMA, Misir",2.82,3.38,29.11.2016
2955,FLAPROKS,CIPROFLOXACIN,750 mq,Tablet,Blister,10,"UNİFARMA, Misir",4.23,5.08,29.11.2016
2956,FLAPROKS,CIPROFLOXACIN,750 mq,Tablet,Blister,10,"VÖRLD MEDİSİN İLAÇ SAN VE TİC AŞ / BİOFARMA İLAÇ SAN VE TİC AŞ,
Türkiyə",5.61,6.73,29.11.2016
2957,FLAREKS,FLUOROMETHOLONE ACETATE,1 mq/ml,Göz üçün damcı,Flakon 5 ml,1,"ALKON-KUVRE NV, Belçika",5.23,6.28,15.07.2017
2958,FLATİN,PANCREATIN,"87,5 mq",Draje,Blister,30,"BİLİM İLAÇ SAN VE TİC AŞ, Türkiyə",4.23,5.08,29.11.2016
2959,FLAVAMED,AMBROXOL HCL,30 mq,Tablet,Blister,20,"BERLİN-XEMİ AG, Almaniya",3.17,3.80,29.11.2016
2960,FLAVAMED,AMBROXOL HCL,60 mq,Fışıldayan tablet,Blister,10,"BERLİN-XEMİ AG / HERMES ARZNEİMİTTEL GMBH, Almaniya",4.63,5.56,29.11.2016
2961,FLAVAMED,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 60 ml,1,"BERLİN-XEMİ AG, Almaniya",2.50,3.00,29.11.2016
2962,FLAVAMED,AMBROXOL HCL,3 mq/ml,Şərbət,Flakon 100 ml,1,"BERLİN-XEMİ AG, Almaniya",3.23,3.88,29.11.2016
